id_str,tweet_created_at,user_screen_name,user_id_str,user_statuses_count,user_favourites_count,user_protected,user_listed_count,user_following,user_description,user_location,user_verified,user_followers_count,user_friends_count,user_created_at,tweet_language,text_,favorite_count,favorited,in_reply_to_screen_name,in_reply_to_status_id_str,in_reply_to_user_id_str,retweet_count,retweeted,text
'793423313674571776',Tue Nov 01 12:03:53 +0000 2016,AmazonHelp,85741735,2225442,11366,FALSE,796,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149568,53,Wed Oct 28 04:17:54 +0000 2009,en,@aakashwangnoo Hi! We have responded to you here: https://t.co/v4YVCa3rff ^SG(1/2),0,FALSE,aakashwangnoo,7.93E+17,71457972,0,FALSE,@aakashwangnoo Hi! We have responded to you here: https://t.co/v4YVCa3rff ^SG(1/2)
'793423314333134850',Tue Nov 01 12:03:53 +0000 2016,AmazonHelp,85741735,2225442,11366,FALSE,796,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149568,53,Wed Oct 28 04:17:54 +0000 2009,en,@aakashwangnoo Please don’t provide your order details as we consider them to be personal info. Our page is visible to public. ^SG(2/2),0,FALSE,aakashwangnoo,7.93E+17,71457972,0,FALSE,
'793467086869630977',Tue Nov 01 14:57:50 +0000 2016,aakashwangnoo,71457972,592,471,FALSE,11,FALSE,Don't try to be GOD in your lives...Let HIM work in your lives...and see the magic that he weaves...,New Delhi,FALSE,234,57,Fri Sep 04 04:55:01 +0000 2009,en,@AmazonHelp @amazonIN I am providing my order details as even after providing that ur CC Team is repeatedly shooting me cut copy paste email,0,FALSE,AmazonHelp,7.93E+17,85741735,0,FALSE,
'793492430666498050',Tue Nov 01 16:38:32 +0000 2016,AmazonHelp,85741735,2225442,11366,FALSE,796,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149568,53,Wed Oct 28 04:17:54 +0000 2009,en,"@aakashwangnoo Hi, I believe we have already got back to you on this. Kindly check for the correspondence here: https://t.co/NTkrxpsbHJ ^AB",0,FALSE,aakashwangnoo,7.93E+17,71457972,0,FALSE,"@aakashwangnoo Hi, I believe we have already got back to you on this. Kindly check for the correspondence here: https://t.co/NTkrxpsbHJ ^AB"
'793535036213501952',Tue Nov 01 19:27:50 +0000 2016,aakashwangnoo,71457972,592,471,FALSE,11,FALSE,Don't try to be GOD in your lives...Let HIM work in your lives...and see the magic that he weaves...,New Delhi,FALSE,234,57,Fri Sep 04 04:55:01 +0000 2009,en,@AmazonHelp @amazonIN @JeffBezos @consumeraction @ConsumerAffairs @ConsumersUnion You want to silent my voice and call that as Answers to me,0,FALSE,AmazonHelp,7.93E+17,85741735,0,FALSE,
'793535221329113088',Tue Nov 01 19:28:34 +0000 2016,aakashwangnoo,71457972,592,471,FALSE,11,FALSE,Don't try to be GOD in your lives...Let HIM work in your lives...and see the magic that he weaves...,New Delhi,FALSE,234,57,Fri Sep 04 04:55:01 +0000 2009,en,@AmazonHelp @amazonIN @JeffBezos @consumeraction @ConsumerAffairs @ConsumersUnion SHAME on you Team Amazon India...SHAME SHAME SHAME!!!,0,FALSE,aakashwangnoo,7.94E+17,71457972,0,FALSE,
'793537840533471232',Tue Nov 01 19:38:59 +0000 2016,aakashwangnoo,71457972,592,471,FALSE,11,FALSE,Don't try to be GOD in your lives...Let HIM work in your lives...and see the magic that he weaves...,New Delhi,FALSE,234,57,Fri Sep 04 04:55:01 +0000 2009,en,@AmazonHelp @amazonIN @JeffBezos @consumeraction @ConsumerAffairs @ConsumersUnion Please see attachments. These are Amazon responses. https://t.co/W9FcqQVtCC,0,FALSE,AmazonHelp,7.93E+17,85741735,0,FALSE,@AmazonHelp @amazonIN @JeffBezos @consumeraction @ConsumerAffairs @ConsumersUnion Please see attachments. These are Amazon responses. https://t.co/W9FcqQVtCC
'793538125884645376',Tue Nov 01 19:40:07 +0000 2016,aakashwangnoo,71457972,592,471,FALSE,11,FALSE,Don't try to be GOD in your lives...Let HIM work in your lives...and see the magic that he weaves...,New Delhi,FALSE,234,57,Fri Sep 04 04:55:01 +0000 2009,en,@AmazonHelp @amazonIN @JeffBezos @consumeraction @ConsumerAffairs @ConsumersUnion and these are my responses. https://t.co/vTwhtX5oBt,0,FALSE,aakashwangnoo,7.94E+17,71457972,0,FALSE,@AmazonHelp @amazonIN @JeffBezos @consumeraction @ConsumerAffairs @ConsumersUnion and these are my responses. https://t.co/vTwhtX5oBt
'793538326653394945',Tue Nov 01 19:40:54 +0000 2016,aakashwangnoo,71457972,592,471,FALSE,11,FALSE,Don't try to be GOD in your lives...Let HIM work in your lives...and see the magic that he weaves...,New Delhi,FALSE,234,57,Fri Sep 04 04:55:01 +0000 2009,en,@AmazonHelp @amazonIN @JeffBezos @consumeraction @ConsumerAffairs @ConsumersUnion Waiting for Amazon Team Response.,0,FALSE,aakashwangnoo,7.94E+17,71457972,0,FALSE,
'793551822476705793',Tue Nov 01 20:34:32 +0000 2016,AmazonHelp,85741735,2225442,11366,FALSE,796,FALSE,We answer Amazon support questions 7 days a week. Support available in English / Deutsch / Español / Português / Français / Italiano / 日本語,,TRUE,149568,53,Wed Oct 28 04:17:54 +0000 2009,en,@aakashwangnoo Hey! I see that we've already responded to your query. That is the best possible resolution we can provide 1/2 ^MM,0,FALSE,aakashwangnoo,7.94E+17,71457972,0,FALSE,
